Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
304.07806,C00020,M-CO2+H[1+],0.7465,0.00251646677003237,EC0001
330.05771,C00020,M-H2O+H[1+],0.9279,0.00206646677003164,EC0001
130.04908,C00025,M-H2O+H[1+],0.9782,0.000796466769998005,EC0002
148.05956,C00025,M+H[1+],0.8487,0.000916466770007673,EC0002
150.05743,C00025,M(Cl37)+H[1+],0.9057,0.000246466769993958,EC0002
150.05743,C00025,M(S34)+H[1+],0.9057,0.00115353322999567,EC0002
163.05936,C00031,M-H2O+H[1+],0.7702,0.000716466770001034,EC0003
163.05949,C00031,M-H2O+H[1+],6.3524,0.000586466769988192,EC0004
163.05952,C00031,M-H2O+H[1+],6.1637,0.000556466770007091,EC0004
203.0516,C00031,M+Na[1+],0.5212,0.00107646677000162,EC0003
219.02552,C00031,M+K[1+],0.7397,0.000656466770010411,EC0003
101.02241,C00042,M-H2O+H[1+],1.0092,0.000866466770006014,EC0005
137.04484,C00042,M+H2O+H[1+],0.9517,0.00036353322997229,EC0005
141.01523,C00042,M+Na[1+],1.0142,0.000646466770007237,EC0005
147.11186,C00047,M+H[1+],0.6541,0.000916466770007673,EC0006
385.09228,C00061,M-C3H4O2+H[1+],0.744,0.00150353322999308,EC0007
429.11647,C00061,M-CO+H[1+],7.4879,0.000406466770016323,EC0008
439.09831,C00061,M-H2O+H[1+],7.2694,0.00296646676997625,EC0008
457.11518,C00061,M+H[1+],0.7373,0.00330353322999599,EC0007
169.05972,C00064,M+Na[1+],5.3335,0.00134353322999914,EC0009
199.02028,C00072,M+Na[1+],1.0098,0.00109646677000796,EC00010
150.05743,C00073,M+H[1+],0.9057,0.000946466769988774,EC00011
152.05568,C00073,M(Cl37)+H[1+],0.8773,0.00010353323000345,EC00011
152.05568,C00073,M(S34)+H[1+],0.8773,0.00150353322999308,EC00011
161.10633,C00078,M-CO2+H[1+],2.324,0.00104646676999209,EC00012
177.10122,C00078,M-CO+H[1+],1.5773,0.000956466769991948,EC00012
177.10123,C00078,M-CO+H[1+],1.279,0.000946466770017196,EC00012
188.06958,C00078,M-NH3+H[1+],2.2078,0.00109646677000796,EC00012
205.09514,C00078,M+H[1+],2.2058,0.00203646677002212,EC00012
206.09854,C00078,M(C13)+H[1+],2.2085,0.00203646676999369,EC00012
223.10685,C00078,M+H2O+H[1+],2.094,0.000926466770010848,EC00012
227.07812,C00078,M+Na[1+],2.2154,0.00105646676999527,EC00012
120.07984,C00079,M-HCOOH+H[1+],1.5093,0.00103646676998892,EC00013
